what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1300268070995
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1300268071010
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1300268071024
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1300268071027
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1300268071035
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1300268071088
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1300268071136
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1300268071136
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1300268071147
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1300268071153
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1300268071162
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1300268071164
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1300268071176
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1300268071178
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300268071187
os,sysinfo,,,"macosx",1300268071190
arch,sysinfo,,,"x86_64",1300268071190
ws,sysinfo,,,"cocoa",1300268071190
locale,sysinfo,,,"en_US",1300268071190
processors,sysinfo,,,"2",1300268071190
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300268071190
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1300268071190
java.specification.name,sysinfo,,,"Java Platform API Specification",1300268071190
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300268071190
java.specification.version,sysinfo,,,"1.6",1300268071190
java.vendor,sysinfo,,,"Apple Inc.",1300268071190
java.version,sysinfo,,,"1.6.0_24",1300268071190
java.vm.info,sysinfo,,,"mixed mode",1300268071190
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1300268071190
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300268071190
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300268071190
java.vm.specification.version,sysinfo,,,"1.0",1300268071190
java.vm.vendor,sysinfo,,,"Apple Inc.",1300268071190
java.vm.version,sysinfo,,,"19.1-b02-334",1300268071190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300268082530
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1300268082535
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300268089495
